City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,saint-philippe,-21.3585,55.7679,23.95,82,98,3.7,RE,1679024046
112,margate,51.3813,1.3862,11.04,79,100,0.45,GB,1679023962
113,coahuayana,18.7333,-103.6833,21.13,84,0,1.08,MX,1679024047
114,coihaique,-45.5752,-72.0662,0.97,93,0,1.03,CL,1679024047
115,mayo,38.8876,-76.5119,12.7,66,0,4.63,US,1679024048
116,the valley,18.217,-63.0578,25.92,70,40,4.49,AI,1679024048
117,butaritari,3.0707,172.7902,27.6,74,39,3.32,KI,1679024048
118,micheweni,-4.9667,39.8333,26.53,77,18,1.68,TZ,1679024049
119,padang,-0.9492,100.3543,30.03,64,99,1.98,ID,1679024049
120,basco,20.4487,121.9702,23.66,73,42,6.97,PH,1679024050
121,hamilton,39.1834,-84.5333,15.35,43,100,5.14,US,1679023793
122,khatanga,71.9667,102.5,-2.82,83,100,9.5,RU,1679024050
123,stryn,61.9045,6.7226,1.72,95,100,3.76,NO,1679024051
124,katsuura,35.1333,140.3,12.71,82,99,8.97,JP,1679024051
125,victoria,22.2855,114.1577,24.98,83,99,4.92,HK,1679023922
126,erzin,36.9559,36.2,11.21,74,97,2.96,TR,1679024052
127,bakel,14.905,-12.4568,26.85,25,51,5.04,SN,1679024052
128,kahone,14.15,-16.0333,22.59,57,100,3.6,SN,1679024053
129,ankola,14.6667,74.3,29.83,53,31,0.88,IN,1679024053
130,maniitsoq,65.4167,-52.9,-13.28,79,17,4.65,GL,1679024054
131,viedma,-40.8135,-62.9967,23.54,62,100,2.87,AR,1679024055
132,grindavik,63.8424,-22.4338,-2.74,54,0,0.51,IS,1679024055
133,meulaboh,4.1363,96.1285,27.8,75,100,0.79,ID,1679023766
134,puerto del rosario,28.5004,-13.8627,18.86,72,100,7.2,ES,1679024056
135,sayyan,15.1718,44.3244,14.26,66,55,0.66,YE,1679024056
136,saskylakh,71.9167,114.0833,-3.45,94,100,7.56,RU,1679024057
137,luoyang,34.6836,112.4536,7.17,66,100,0.75,CN,1679023804
138,ancud,-41.8697,-73.8203,8.95,80,100,3.37,CL,1679024057
139,ponta do sol,32.6667,-17.1,17.35,61,8,2.49,PT,1679024058
140,deputatskiy,69.3,139.9,-12.95,83,1,0.75,RU,1679024059
141,ribeira grande,38.5167,-28.7,15.43,81,45,5.81,PT,1679024059
142,ostrovnoy,68.0531,39.5131,-14.93,94,82,5.23,RU,1679024059
